filename,NOSE_x,NOSE_y,NOSE_score,LEFT_EYE_x,LEFT_EYE_y,LEFT_EYE_score,RIGHT_EYE_x,RIGHT_EYE_y,RIGHT_EYE_score,LEFT_EAR_x,LEFT_EAR_y,LEFT_EAR_score,RIGHT_EAR_x,RIGHT_EAR_y,RIGHT_EAR_score,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_score,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_score,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_score,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_score,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_score,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_score,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_score,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_score,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_score,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_score,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_score,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_score,class_no,class_name
KneePushUp/0 - Copy (2).jpg,192.0,81.0,0.6665075,195.0,77.0,0.6698103,195.0,77.0,0.6343863,191.0,66.0,0.71857965,190.0,67.0,0.8240572,174.0,72.0,0.72255224,167.0,65.0,0.710754,164.0,97.0,0.6394385,155.0,94.0,0.77068484,169.0,121.0,0.79457134,160.0,126.0,0.88070536,111.0,96.0,0.57692814,110.0,94.0,0.7974093,78.0,119.0,0.7662643,73.0,123.0,0.8321734,56.0,80.0,0.6211834,52.0,79.0,0.71290493,0,KneePushUp
KneePushUp/0 - Copy (3).jpg,192.0,81.0,0.6665075,195.0,77.0,0.6698103,195.0,77.0,0.6343863,191.0,66.0,0.71857965,190.0,67.0,0.8240572,174.0,72.0,0.72255224,167.0,65.0,0.710754,164.0,97.0,0.6394385,155.0,94.0,0.77068484,169.0,121.0,0.79457134,160.0,126.0,0.88070536,111.0,96.0,0.57692814,110.0,94.0,0.7974093,78.0,119.0,0.7662643,73.0,123.0,0.8321734,56.0,80.0,0.6211834,52.0,79.0,0.71290493,0,KneePushUp
KneePushUp/0 - Copy (4).jpg,192.0,81.0,0.6665075,195.0,77.0,0.6698103,195.0,77.0,0.6343863,191.0,66.0,0.71857965,190.0,67.0,0.8240572,174.0,72.0,0.72255224,167.0,65.0,0.710754,164.0,97.0,0.6394385,155.0,94.0,0.77068484,169.0,121.0,0.79457134,160.0,126.0,0.88070536,111.0,96.0,0.57692814,110.0,94.0,0.7974093,78.0,119.0,0.7662643,73.0,123.0,0.8321734,56.0,80.0,0.6211834,52.0,79.0,0.71290493,0,KneePushUp
KneePushUp/0 - Copy (5).jpg,192.0,81.0,0.6665075,195.0,77.0,0.6698103,195.0,77.0,0.6343863,191.0,66.0,0.71857965,190.0,67.0,0.8240572,174.0,72.0,0.72255224,167.0,65.0,0.710754,164.0,97.0,0.6394385,155.0,94.0,0.77068484,169.0,121.0,0.79457134,160.0,126.0,0.88070536,111.0,96.0,0.57692814,110.0,94.0,0.7974093,78.0,119.0,0.7662643,73.0,123.0,0.8321734,56.0,80.0,0.6211834,52.0,79.0,0.71290493,0,KneePushUp
KneePushUp/0 - Copy (6).jpg,192.0,81.0,0.6665075,195.0,77.0,0.6698103,195.0,77.0,0.6343863,191.0,66.0,0.71857965,190.0,67.0,0.8240572,174.0,72.0,0.72255224,167.0,65.0,0.710754,164.0,97.0,0.6394385,155.0,94.0,0.77068484,169.0,121.0,0.79457134,160.0,126.0,0.88070536,111.0,96.0,0.57692814,110.0,94.0,0.7974093,78.0,119.0,0.7662643,73.0,123.0,0.8321734,56.0,80.0,0.6211834,52.0,79.0,0.71290493,0,KneePushUp
KneePushUp/0 - Copy (7).jpg,192.0,81.0,0.6665075,195.0,77.0,0.6698103,195.0,77.0,0.6343863,191.0,66.0,0.71857965,190.0,67.0,0.8240572,174.0,72.0,0.72255224,167.0,65.0,0.710754,164.0,97.0,0.6394385,155.0,94.0,0.77068484,169.0,121.0,0.79457134,160.0,126.0,0.88070536,111.0,96.0,0.57692814,110.0,94.0,0.7974093,78.0,119.0,0.7662643,73.0,123.0,0.8321734,56.0,80.0,0.6211834,52.0,79.0,0.71290493,0,KneePushUp
KneePushUp/0 - Copy (8).jpg,192.0,81.0,0.6665075,195.0,77.0,0.6698103,195.0,77.0,0.6343863,191.0,66.0,0.71857965,190.0,67.0,0.8240572,174.0,72.0,0.72255224,167.0,65.0,0.710754,164.0,97.0,0.6394385,155.0,94.0,0.77068484,169.0,121.0,0.79457134,160.0,126.0,0.88070536,111.0,96.0,0.57692814,110.0,94.0,0.7974093,78.0,119.0,0.7662643,73.0,123.0,0.8321734,56.0,80.0,0.6211834,52.0,79.0,0.71290493,0,KneePushUp
KneePushUp/0 - Copy (9).jpg,192.0,81.0,0.6665075,195.0,77.0,0.6698103,195.0,77.0,0.6343863,191.0,66.0,0.71857965,190.0,67.0,0.8240572,174.0,72.0,0.72255224,167.0,65.0,0.710754,164.0,97.0,0.6394385,155.0,94.0,0.77068484,169.0,121.0,0.79457134,160.0,126.0,0.88070536,111.0,96.0,0.57692814,110.0,94.0,0.7974093,78.0,119.0,0.7662643,73.0,123.0,0.8321734,56.0,80.0,0.6211834,52.0,79.0,0.71290493,0,KneePushUp
KneePushUp/0 - Copy.jpg,192.0,81.0,0.6665075,195.0,77.0,0.6698103,195.0,77.0,0.6343863,191.0,66.0,0.71857965,190.0,67.0,0.8240572,174.0,72.0,0.72255224,167.0,65.0,0.710754,164.0,97.0,0.6394385,155.0,94.0,0.77068484,169.0,121.0,0.79457134,160.0,126.0,0.88070536,111.0,96.0,0.57692814,110.0,94.0,0.7974093,78.0,119.0,0.7662643,73.0,123.0,0.8321734,56.0,80.0,0.6211834,52.0,79.0,0.71290493,0,KneePushUp
KneePushUp/0.jpg,192.0,81.0,0.6665075,195.0,77.0,0.6698103,195.0,77.0,0.6343863,191.0,66.0,0.71857965,190.0,67.0,0.8240572,174.0,72.0,0.72255224,167.0,65.0,0.710754,164.0,97.0,0.6394385,155.0,94.0,0.77068484,169.0,121.0,0.79457134,160.0,126.0,0.88070536,111.0,96.0,0.57692814,110.0,94.0,0.7974093,78.0,119.0,0.7662643,73.0,123.0,0.8321734,56.0,80.0,0.6211834,52.0,79.0,0.71290493,0,KneePushUp
